27p	2	"C2 C3"
100n	12	"C1 C4 C6 C7 C10 C11 C22 C23 C26 C31 C33 C35"
10µ	6	"C8 C9 C12 C13 C27 C30"
1µ	7	"C18 C19 C20 C25 C28 C29 C32"
470µ	2	"C21 C24"
100µ	1	"C34"
1N4841	2	"D1 D2"
Power	1	"D3"
1N4148	3	"D4 D5 D6"
5V1	1	"DZ1"
D-SUB-DE-9	1	"K1"
JTAG-ATMEL	1	"K2"
K20	1	"K3"
K10	1	"K4"
100u	1	"L3"
100µH	1	"L1"
500R	1	"P2"
100k	1	"P4"
P	1	"P3"
PR_DPDT	1	"PR1"
330	1	"R32"
680R	2	"R5 R6"
1k	1	"R31"
3k	1	"R30"
4k7	3	"R1 R9 R11"
10k	2	"R3 R28"
10k	4	"R4 R20 R22 R23"
20k	1	"R21"
22k	2	"R8 R14"
47k	6	"R2 R7 R10 R12 R19 R29"
BC547	2	"T1 T2"
TL082	2	"U1 U2"
RTCC	1	"U3"
ATMEGA16-PU	1	"uC1"
7805	1	"US5"
MAX232	1	"US3"
MCP1541	1	"US6"
ICL7660	1	"US7"
DS18B20	3	"US1 US2 US4"
1.8432MHz	1	"X1"
